Chan,Delta,Timestamp,RSSI
37, 00:00:03.763290,29-Sep-17 3:56:02.790331 PM,-81
38, 00:00:00.000697,29-Sep-17 3:56:02.791028 PM,-80
37, 00:00:02.469170,29-Sep-17 3:56:05.260198 PM,-81
39, 00:00:00.001897,29-Sep-17 3:56:05.262095 PM,-35.000 (strong)
37, 00:00:01.241629,29-Sep-17 3:56:06.503724 PM,-82
38, 00:00:00.000697,29-Sep-17 3:56:06.504421 PM,-79
39, 00:00:00.001199,29-Sep-17 3:56:06.505620 PM,-35.000 (strong)
37, 00:00:02.480709,29-Sep-17 3:56:08.986329 PM,-82
38, 00:00:02.524330,29-Sep-17 3:56:11.510659 PM,-80
37, 00:00:01.208043,29-Sep-17 3:56:12.718702 PM,-82
38, 00:00:00.000697,29-Sep-17 3:56:12.719399 PM,-81
38, 00:00:03.755691,29-Sep-17 3:56:16.475090 PM,-80
38, 00:00:01.249835,29-Sep-17 3:56:17.724924 PM,-80
37, 00:00:03.746820,29-Sep-17 3:56:21.471744 PM,-81
37, 00:00:01.205667,29-Sep-17 3:56:22.677411 PM,-82
38, 00:00:00.000697,29-Sep-17 3:56:22.678108 PM,-79
37, 00:00:01.250821,29-Sep-17 3:56:23.928928 PM,-83
38, 00:00:00.000697,29-Sep-17 3:56:23.929626 PM,-79
38, 00:00:02.485752,29-Sep-17 3:56:26.415378 PM,-79
38, 00:00:01.279929,29-Sep-17 3:56:27.695306 PM,-80
37, 00:00:01.202172,29-Sep-17 3:56:28.897479 PM,-81
38, 00:00:00.000697,29-Sep-17 3:56:28.898176 PM,-81
37, 00:00:01.252613,29-Sep-17 3:56:30.150788 PM,-82
37, 00:00:01.249835,29-Sep-17 3:56:31.400623 PM,-81
38, 00:00:00.000697,29-Sep-17 3:56:31.401320 PM,-80
38, 00:00:01.250477,29-Sep-17 3:56:32.651797 PM,-80
37, 00:00:02.464470,29-Sep-17 3:56:35.116267 PM,-81
