Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,229,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.355886",="02-Oct-17 5:32:49.839782 PM",-76.000 dBm (weak),
,230,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:49.840809 PM",-72.000 dBm (weak),
,231,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:49.841835 PM",-79.000 dBm (weak),
,232,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350031",="02-Oct-17 5:32:50.191866 PM",-75.000 dBm (weak),
,233,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:50.192893 PM",-72.000 dBm (weak),
,234,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:50.193919 PM",-79.000 dBm (weak),
,235,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.356111",="02-Oct-17 5:32:50.550030 PM",-75.000 dBm (weak),
,236,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:50.551058 PM",-72.000 dBm (weak),
,237,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:50.552084 PM",-78.000 dBm (weak),
,238,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350460",="02-Oct-17 5:32:50.902544 PM",-75.000 dBm (weak),
,239,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:50.903571 PM",-72.000 dBm (weak),
,240,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:50.904597 PM",-79.000 dBm (weak),
,241,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350457",="02-Oct-17 5:32:51.255054 PM",-75.000 dBm (weak),
,242,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:51.256081 PM",-72.000 dBm (weak),
,243,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:51.257107 PM",-78.000 dBm (weak),
,244,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350774",="02-Oct-17 5:32:51.607881 PM",-76.000 dBm (weak),
,245,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:51.608909 PM",-72.000 dBm (weak),
,246,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:51.609934 PM",-79.000 dBm (weak),
,247,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353612",="02-Oct-17 5:32:51.963547 PM",-78.000 dBm (weak),
,248,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.355080",="02-Oct-17 5:32:52.318626 PM",-76.000 dBm (weak),
,249,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:52.319654 PM",-72.000 dBm (weak),
,250,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:52.320680 PM",-78.000 dBm (weak),
,251,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353271",="02-Oct-17 5:32:52.673951 PM",-76.000 dBm (weak),
,252,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:52.674978 PM",-72.000 dBm (weak),
,253,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:52.676004 PM",-78.000 dBm (weak),
