Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,6762,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247386",="03-Oct-17 4:03:47.976617 PM",-69.000 dBm (weak),
,6763,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:47.977314 PM",-63.000 dBm (weak),
,6764,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:03:47.977816 PM",-32.000 dBm (strong),
,6765,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:03:47.978142 PM",-63.000 dBm (weak),
,6766,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:03:47.978413 PM",-62.000 dBm (weak),
,6767,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.232282",="03-Oct-17 4:03:49.210695 PM",-69.000 dBm (weak),
,6768,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:49.211392 PM",-64.000 dBm (weak),
,6769,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:49.212089 PM",-62.000 dBm (weak),
,6770,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:03:49.212591 PM",-36.000 dBm (strong),
,6771,1,    39 ,  39 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:03:49.212917 PM",-62.000 dBm (weak),
,6772,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244856",="03-Oct-17 4:03:50.457773 PM",-69.000 dBm (weak),
,6773,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:03:50.458275 PM",-35.000 dBm (strong),
,6774,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000325",="03-Oct-17 4:03:50.458601 PM",-69.000 dBm (weak),
,6775,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:03:50.458871 PM",-63.000 dBm (weak),
,6776,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:50.459569 PM",-62.000 dBm (weak),
,6777,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:01.291210",="03-Oct-17 4:03:51.750778 PM",-63.000 dBm (weak),
,6778,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.224118",="03-Oct-17 4:03:52.974896 PM",-63.000 dBm (weak),
,6779,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:52.975593 PM",-62.000 dBm (weak),
,6780,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.223670",="03-Oct-17 4:03:54.199263 PM",-68.000 dBm (weak),
,6781,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:54.199960 PM",-63.000 dBm (weak),
,6782,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:54.200657 PM",-62.000 dBm (weak),
,6783,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.234634",="03-Oct-17 4:03:55.435291 PM",-69.000 dBm (weak),
,6784,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:55.435988 PM",-63.000 dBm (weak),
,6785,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:03:55.436490 PM",-32.000 dBm (strong),
,6786,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:03:55.436816 PM",-63.000 dBm (weak),
,6787,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:03:55.437087 PM",-62.000 dBm (weak),
,6788,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.254523",="03-Oct-17 4:03:56.691610 PM",-69.000 dBm (weak),
,6789,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:56.692306 PM",-64.000 dBm (weak),
,6790,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:56.693004 PM",-62.000 dBm (weak),
,6791,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.265581",="03-Oct-17 4:03:57.958584 PM",-69.000 dBm (weak),
,6792,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:03:57.959087 PM",-35.000 dBm (strong),
,6793,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:03:57.959412 PM",-69.000 dBm (weak),
,6794,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:03:57.959683 PM",-63.000 dBm (weak),
,6795,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:57.960380 PM",-62.000 dBm (weak),
,6796,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.216640",="03-Oct-17 4:03:59.177020 PM",-69.000 dBm (weak),
,6797,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:03:59.177717 PM",-64.000 dBm (weak),
,6798,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:03:59.178219 PM",-32.000 dBm (strong),
,6799,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:03:59.178545 PM",-64.000 dBm (weak),
,6800,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:03:59.178816 PM",-62.000 dBm (weak),
,6801,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243409",="03-Oct-17 4:04:00.422225 PM",-69.000 dBm (weak),
,6802,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:00.422922 PM",-63.000 dBm (weak),
,6803,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:00.423619 PM",-61.000 dBm (weak),
,6804,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247060",="03-Oct-17 4:04:01.670679 PM",-70.000 dBm (weak),
,6805,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:01.671376 PM",-63.000 dBm (weak),
,6806,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.236878",="03-Oct-17 4:04:02.908254 PM",-69.000 dBm (weak),
,6807,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:02.908951 PM",-63.000 dBm (weak),
,6808,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:04:02.909453 PM",-32.000 dBm (strong),
,6809,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:04:02.909779 PM",-63.000 dBm (weak),
,6810,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:04:02.910050 PM",-62.000 dBm (weak),
,6811,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.490933",="03-Oct-17 4:04:05.400982 PM",-69.000 dBm (weak),
,6812,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:05.401679 PM",-63.000 dBm (weak),
,6813,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:04:05.402182 PM",-32.000 dBm (strong),
,6814,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:04:05.402508 PM",-63.000 dBm (weak),
,6815,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:04:05.402779 PM",-62.000 dBm (weak),
,6816,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.488446",="03-Oct-17 4:04:07.891225 PM",-69.000 dBm (weak),
,6817,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:07.891922 PM",-63.000 dBm (weak),
,6818,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:04:07.892424 PM",-32.000 dBm (strong),
,6819,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:04:07.892750 PM",-64.000 dBm (weak),
,6820,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:04:07.893021 PM",-62.000 dBm (weak),
,6821,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.245182",="03-Oct-17 4:04:09.138203 PM",-68.000 dBm (weak),
,6822,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:09.138900 PM",-63.000 dBm (weak),
,6823,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:09.139597 PM",-62.000 dBm (weak),
,6824,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:04:09.140099 PM",-37.000 dBm (medium),
