Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,192,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.249832",="29-Sep-17 3:53:08.290711 PM",-81.000 dBm (weak),
,193,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:08.291408 PM",-79.000 dBm (weak),
,194,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:02.481680",="29-Sep-17 3:53:10.773088 PM",-80.000 dBm (weak),
,195,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.253314",="29-Sep-17 3:53:12.026402 PM",-79.000 dBm (weak),
,196,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.238830",="29-Sep-17 3:53:13.265232 PM",-82.000 dBm (weak),
,197,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:13.265930 PM",-80.000 dBm (weak),
,198,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.246693",="29-Sep-17 3:53:14.512623 PM",-82.000 dBm (weak),
,199,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:14.513320 PM",-81.000 dBm (weak),
,200,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.245482",="29-Sep-17 3:53:15.758802 PM",-81.000 dBm (weak),
,201,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:15.759499 PM",-80.000 dBm (weak),
,202,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.236459",="29-Sep-17 3:53:16.995958 PM",-81.000 dBm (weak),
,203,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000698",="29-Sep-17 3:53:16.996655 PM",-80.000 dBm (weak),
,204,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.250349",="29-Sep-17 3:53:18.247005 PM",-82.000 dBm (weak),
,205,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:18.247702 PM",-80.000 dBm (weak),
,206,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:02.478208",="29-Sep-17 3:53:20.725910 PM",-34.000 dBm (strong),
,207,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.253269",="29-Sep-17 3:53:21.979179 PM",-80.000 dBm (weak),
,208,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.388954",="29-Sep-17 3:53:23.368132 PM",-81.000 dBm (weak),
,209,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:23.368829 PM",-80.000 dBm (weak),
,210,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244819",="29-Sep-17 3:53:24.613648 PM",-81.000 dBm (weak),
,211,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:24.614345 PM",-80.000 dBm (weak),
