Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,+PDU Type (LE ADV),
,1712,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.240134",="13-Nov-17 5:14:52.066919 PM",-37.000 dBm (medium),ADV_IND,
,1713,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:14:52.067421 PM",-44.000 dBm (medium),SCAN_REQ,
,1714,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:52.067747 PM",-37.000 dBm (medium),SCAN_RSP,
,1715,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:52.068018 PM",-35.000 dBm (strong),ADV_IND,
,1716,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:52.068715 PM",-42.000 dBm (medium),ADV_IND,
,1717,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.241983",="13-Nov-17 5:14:53.310698 PM",-37.000 dBm (medium),ADV_IND,
,1718,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:14:53.311200 PM",-44.000 dBm (medium),SCAN_REQ,
,1719,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:53.311526 PM",-37.000 dBm (medium),SCAN_RSP,
,1720,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:53.311797 PM",-35.000 dBm (strong),ADV_IND,
,1721,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:53.312494 PM",-42.000 dBm (medium),ADV_IND,
,1722,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243684",="13-Nov-17 5:14:54.556178 PM",-37.000 dBm (medium),ADV_IND,
,1723,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:54.556875 PM",-35.000 dBm (strong),ADV_IND,
,1724,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:14:54.557377 PM",-38.000 dBm (medium),SCAN_REQ,
,1725,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:54.557703 PM",-35.000 dBm (strong),SCAN_RSP,
,1726,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:54.557974 PM",-42.000 dBm (medium),ADV_IND,
,1727,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244033",="13-Nov-17 5:14:55.802007 PM",-37.000 dBm (medium),ADV_IND,
,1728,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:55.802704 PM",-35.000 dBm (strong),ADV_IND,
,1729,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:14:55.803207 PM",-38.000 dBm (medium),SCAN_REQ,
,1730,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:55.803532 PM",-35.000 dBm (strong),SCAN_RSP,
,1731,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:55.803803 PM",-43.000 dBm (medium),ADV_IND,
,1732,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.252134",="13-Nov-17 5:14:57.055936 PM",-37.000 dBm (medium),ADV_IND,
,1733,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:57.056634 PM",-35.000 dBm (strong),ADV_IND,
,1734,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:14:57.057136 PM",-38.000 dBm (medium),SCAN_REQ,
,1735,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:57.057462 PM",-35.000 dBm (strong),SCAN_RSP,
,1736,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:57.057732 PM",-43.000 dBm (medium),ADV_IND,
,1737,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.249134",="13-Nov-17 5:14:58.306866 PM",-37.000 dBm (medium),ADV_IND,
,1738,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:14:58.307368 PM",-44.000 dBm (medium),SCAN_REQ,
,1739,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:58.307694 PM",-37.000 dBm (medium),SCAN_RSP,
,1740,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:58.307965 PM",-35.000 dBm (strong),ADV_IND,
,1741,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:58.308662 PM",-42.000 dBm (medium),ADV_IND,
,1742,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.239833",="13-Nov-17 5:14:59.548495 PM",-37.000 dBm (medium),ADV_IND,
,1743,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:59.549192 PM",-35.000 dBm (strong),ADV_IND,
,1744,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:14:59.549695 PM",-38.000 dBm (medium),SCAN_REQ,
,1745,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:59.550020 PM",-35.000 dBm (strong),SCAN_RSP,
,1746,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:59.550291 PM",-43.000 dBm (medium),ADV_IND,
,1747,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.241384",="13-Nov-17 5:15:00.791675 PM",-37.000 dBm (medium),ADV_IND,
,1748,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:00.792372 PM",-35.000 dBm (strong),ADV_IND,
,1749,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:00.792874 PM",-38.000 dBm (medium),SCAN_REQ,
,1750,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:00.793200 PM",-35.000 dBm (strong),SCAN_RSP,
,1751,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:00.793471 PM",-43.000 dBm (medium),ADV_IND,
,1752,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.241984",="13-Nov-17 5:15:02.035454 PM",-37.000 dBm (medium),ADV_IND,
,1753,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:02.036151 PM",-35.000 dBm (strong),ADV_IND,
,1754,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:15:02.036654 PM",-38.000 dBm (medium),SCAN_REQ,
,1755,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:02.036979 PM",-35.000 dBm (strong),SCAN_RSP,
,1756,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:02.037250 PM",-42.000 dBm (medium),ADV_IND,
,1757,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244033",="13-Nov-17 5:15:03.281283 PM",-37.000 dBm (medium),ADV_IND,
,1758,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:03.281981 PM",-35.000 dBm (strong),ADV_IND,
,1759,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:15:03.282483 PM",-36.000 dBm (strong),SCAN_REQ,
,1760,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:03.282809 PM",-35.000 dBm (strong),SCAN_RSP,
,1761,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:03.283079 PM",-42.000 dBm (medium),ADV_IND,
,1762,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.242684",="13-Nov-17 5:15:04.525763 PM",-37.000 dBm (medium),ADV_IND,
,1763,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:04.526460 PM",-35.000 dBm (strong),ADV_IND,
,1764,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:04.527157 PM",-43.000 dBm (medium),ADV_IND,
,1765,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:04.527659 PM",-39.000 dBm (medium),SCAN_REQ,
,1766,1,    39 ,  39 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:04.527985 PM",-42.000 dBm (medium),SCAN_RSP,
,1767,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247607",="13-Nov-17 5:15:05.775592 PM",-37.000 dBm (medium),ADV_IND,
,1768,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:05.776094 PM",-44.000 dBm (medium),SCAN_REQ,
,1769,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:05.776420 PM",-37.000 dBm (medium),SCAN_RSP,
,1770,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:05.776691 PM",-35.000 dBm (strong),ADV_IND,
,1771,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:05.777388 PM",-43.000 dBm (medium),ADV_IND,
,1772,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.235884",="13-Nov-17 5:15:07.013272 PM",-37.000 dBm (medium),ADV_IND,
,1773,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:07.013774 PM",-44.000 dBm (medium),SCAN_REQ,
,1774,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:07.014100 PM",-37.000 dBm (medium),SCAN_RSP,
,1775,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:07.014371 PM",-35.000 dBm (strong),ADV_IND,
,1776,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:07.015068 PM",-43.000 dBm (medium),ADV_IND,
,1777,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.248612",="13-Nov-17 5:15:08.263679 PM",-37.000 dBm (medium),ADV_IND,
,1778,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:08.264181 PM",-44.000 dBm (medium),SCAN_REQ,
,1779,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:08.264507 PM",-37.000 dBm (medium),SCAN_RSP,
,1780,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:08.264778 PM",-35.000 dBm (strong),ADV_IND,
,1781,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:08.265475 PM",-43.000 dBm (medium),ADV_IND,
,1782,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243560",="13-Nov-17 5:15:09.509035 PM",-37.000 dBm (medium),ADV_IND,
,1783,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:09.509733 PM",-35.000 dBm (strong),ADV_IND,
,1784,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:09.510235 PM",-38.000 dBm (medium),SCAN_REQ,
,1785,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:09.510561 PM",-35.000 dBm (strong),SCAN_RSP,
,1786,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:09.510831 PM",-43.000 dBm (medium),ADV_IND,
,1787,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247207",="13-Nov-17 5:15:10.758038 PM",-37.000 dBm (medium),ADV_IND,
,1788,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:10.758735 PM",-35.000 dBm (strong),ADV_IND,
,1789,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:10.759237 PM",-38.000 dBm (medium),SCAN_REQ,
,1790,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:10.759563 PM",-35.000 dBm (strong),SCAN_RSP,
,1791,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:10.759834 PM",-43.000 dBm (medium),ADV_IND,
,1792,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.237383",="13-Nov-17 5:15:11.997217 PM",-37.000 dBm (medium),ADV_IND,
,1793,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:15:11.997720 PM",-44.000 dBm (medium),SCAN_REQ,
,1794,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:11.998046 PM",-37.000 dBm (medium),SCAN_RSP,
,1795,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:11.998317 PM",-35.000 dBm (strong),ADV_IND,
,1796,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:11.999014 PM",-43.000 dBm (medium),ADV_IND,
,1797,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.256433",="13-Nov-17 5:15:13.255447 PM",-37.000 dBm (medium),ADV_IND,
,1798,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:15:13.255950 PM",-44.000 dBm (medium),SCAN_REQ,
,1799,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:13.256276 PM",-37.000 dBm (medium),SCAN_RSP,
,1800,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:13.256547 PM",-35.000 dBm (strong),ADV_IND,
,1801,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:13.257244 PM",-43.000 dBm (medium),ADV_IND,
,1802,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.231233",="13-Nov-17 5:15:14.488476 PM",-37.000 dBm (medium),ADV_IND,
,1803,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:14.489173 PM",-35.000 dBm (strong),ADV_IND,
,1804,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:15:14.489676 PM",-38.000 dBm (medium),SCAN_REQ,
,1805,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:14.490002 PM",-35.000 dBm (strong),SCAN_RSP,
,1806,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:14.490273 PM",-43.000 dBm (medium),ADV_IND,
,1807,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.253832",="13-Nov-17 5:15:15.744105 PM",-37.000 dBm (medium),ADV_IND,
,1808,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:15.744803 PM",-35.000 dBm (strong),ADV_IND,
