Chan,Timestamp,RSSI
37,13-Nov-17 5:08:23.534203 PM,-37
37,13-Nov-17 5:08:23.534705 PM,-44
37,13-Nov-17 5:08:23.535031 PM,-37
38,13-Nov-17 5:08:23.535302 PM,-35
39,13-Nov-17 5:08:23.535999 PM,-42
37,13-Nov-17 5:08:24.777031 PM,-37
38,13-Nov-17 5:08:24.777729 PM,-36
38,13-Nov-17 5:08:24.778231 PM,-38
38,13-Nov-17 5:08:24.778557 PM,-36
39,13-Nov-17 5:08:24.778827 PM,-43
37,13-Nov-17 5:08:26.019210 PM,-37
38,13-Nov-17 5:08:26.019907 PM,-36
38,13-Nov-17 5:08:26.020410 PM,-39
38,13-Nov-17 5:08:26.020735 PM,-36
39,13-Nov-17 5:08:26.021006 PM,-42
37,13-Nov-17 5:08:27.265139 PM,-37
38,13-Nov-17 5:08:27.265836 PM,-35
38,13-Nov-17 5:08:27.266338 PM,-38
38,13-Nov-17 5:08:27.266664 PM,-35
39,13-Nov-17 5:08:27.266935 PM,-42
37,13-Nov-17 5:08:28.516517 PM,-37
38,13-Nov-17 5:08:28.517215 PM,-35
38,13-Nov-17 5:08:28.517717 PM,-39
38,13-Nov-17 5:08:28.518043 PM,-35
39,13-Nov-17 5:08:28.518313 PM,-42
37,13-Nov-17 5:08:29.760996 PM,-37
37,13-Nov-17 5:08:29.761499 PM,-44
37,13-Nov-17 5:08:29.761824 PM,-37
38,13-Nov-17 5:08:29.762095 PM,-36
39,13-Nov-17 5:08:29.762792 PM,-42
37,13-Nov-17 5:08:31.007425 PM,-37
37,13-Nov-17 5:08:31.007927 PM,-44
37,13-Nov-17 5:08:31.008253 PM,-37
38,13-Nov-17 5:08:31.008524 PM,-36
39,13-Nov-17 5:08:31.009221 PM,-42
37,13-Nov-17 5:08:32.246931 PM,-37
37,13-Nov-17 5:08:32.247434 PM,-44
37,13-Nov-17 5:08:32.247759 PM,-37
38,13-Nov-17 5:08:32.248030 PM,-36
39,13-Nov-17 5:08:32.248727 PM,-42
37,13-Nov-17 5:08:33.493160 PM,-37
37,13-Nov-17 5:08:33.493662 PM,-44
37,13-Nov-17 5:08:33.493988 PM,-37
38,13-Nov-17 5:08:33.494259 PM,-36
39,13-Nov-17 5:08:33.494956 PM,-42
37,13-Nov-17 5:08:34.738489 PM,-37
38,13-Nov-17 5:08:34.739186 PM,-35
38,13-Nov-17 5:08:34.739688 PM,-38
38,13-Nov-17 5:08:34.740014 PM,-36
39,13-Nov-17 5:08:34.740285 PM,-42
37,13-Nov-17 5:08:35.987067 PM,-37
37,13-Nov-17 5:08:35.987569 PM,-44
37,13-Nov-17 5:08:35.987895 PM,-37
38,13-Nov-17 5:08:35.988166 PM,-35
39,13-Nov-17 5:08:35.988863 PM,-43
37,13-Nov-17 5:08:37.233696 PM,-37
37,13-Nov-17 5:08:37.234199 PM,-44
37,13-Nov-17 5:08:37.234525 PM,-37
38,13-Nov-17 5:08:37.234796 PM,-36
39,13-Nov-17 5:08:37.235493 PM,-42
37,13-Nov-17 5:08:38.475524 PM,-37
37,13-Nov-17 5:08:38.476027 PM,-44
37,13-Nov-17 5:08:38.476352 PM,-37
38,13-Nov-17 5:08:38.476624 PM,-36
39,13-Nov-17 5:08:38.477320 PM,-42
37,13-Nov-17 5:08:39.732253 PM,-36
38,13-Nov-17 5:08:39.732950 PM,-36
38,13-Nov-17 5:08:39.733453 PM,-38
38,13-Nov-17 5:08:39.733778 PM,-36
39,13-Nov-17 5:08:39.734049 PM,-43
37,13-Nov-17 5:08:40.970410 PM,-37
38,13-Nov-17 5:08:40.971107 PM,-36
38,13-Nov-17 5:08:40.971609 PM,-38
38,13-Nov-17 5:08:40.971935 PM,-36
